transaction_id,is_anomaly,anomaly_type
JE100001,0,none
JE100002,0,none
JE100003,0,none
JE100004,0,none
JE100005,0,none
JE100006,0,none
JE100007,0,none
JE100008,0,none
JE100009,0,none
JE100010,0,none
JE100011,0,none
JE100012,0,none
JE100013,0,none
JE100014,0,none
JE100015,0,none
JE100016,0,none
JE100017,0,none
JE100018,0,none
JE100019,0,none
JE100020,0,none
JE100021,0,none
JE100022,0,none
JE100023,0,none
JE100024,0,none
JE100025,0,none
JE100026,0,none
JE100027,0,none
JE100028,0,none
JE100029,0,none
JE100030,0,none
JE100031,0,none
JE100032,0,none
JE100033,0,none
JE100034,0,none
JE100035,0,none
JE100036,0,none
JE100037,0,none
JE100038,0,none
JE100039,0,none
JE100040,0,none
JE100041,0,none
JE100042,0,none
JE100043,0,none
JE100044,0,none
JE100045,0,none
JE100046,0,none
JE100047,0,none
JE100048,0,none
JE100049,0,none
JE100050,0,none
JE100051,0,none
JE100052,0,none
JE100053,0,none
JE100054,0,none
JE100055,0,none
JE100056,0,none
JE100057,0,none
JE100058,0,none
JE100059,0,none
JE100060,0,none
JE100061,0,none
JE100062,0,none
JE100063,0,none
JE100064,0,none
JE100065,0,none
JE100066,0,none
JE100067,0,none
JE100068,0,none
JE100069,0,none
JE100070,0,none
JE100071,0,none
JE100072,0,none
JE100073,0,none
JE100074,0,none
JE100075,0,none
JE100076,0,none
JE100077,0,none
JE100078,0,none
JE100079,0,none
JE100080,0,none
JE100081,0,none
JE100082,0,none
JE100083,0,none
JE100084,0,none
JE100085,0,none
JE100086,0,none
JE100087,0,none
JE100088,0,none
JE100089,0,none
JE100090,0,none
JE100091,0,none
JE100092,0,none
JE100093,0,none
JE100094,0,none
JE100095,0,none
JE100096,0,none
JE100097,0,none
JE100098,0,none
JE100099,0,none
JE100100,0,none
JE100101,0,none
JE100102,0,none
JE100103,0,none
JE100104,0,none
JE100105,0,none
JE100106,0,none
JE100107,0,none
JE100108,0,none
JE100109,0,none
JE100110,0,none
JE100111,0,none
JE100112,0,none
JE100113,0,none
JE100114,0,none
JE100115,0,none
JE100116,0,none
JE100117,0,none
JE100118,0,none
JE100119,0,none
JE100120,0,none
JE100121,0,none
JE100122,0,none
JE100123,0,none
JE100124,0,none
JE100125,0,none
JE100126,0,none
JE100127,0,none
JE100128,0,none
JE100129,0,none
JE100130,0,none
JE100131,0,none
JE100132,0,none
JE100133,0,none
JE100134,0,none
JE100135,0,none
JE100136,0,none
JE100137,0,none
JE100138,0,none
JE100139,0,none
JE100140,0,none
JE100141,0,none
JE100142,0,none
JE100143,0,none
JE100144,0,none
JE100145,0,none
JE100146,0,none
JE100147,0,none
JE100148,0,none
JE100149,0,none
JE100150,0,none
JE100151,0,none
JE100152,0,none
JE100153,0,none
JE100154,0,none
JE100155,0,none
JE100156,0,none
JE100157,0,none
JE100158,0,none
JE100159,0,none
JE100160,0,none
JE100161,0,none
JE100162,0,none
JE100163,0,none
JE100164,0,none
JE100165,0,none
JE100166,0,none
JE100167,0,none
JE100168,0,none
JE100169,0,none
JE100170,0,none
JE100171,0,none
JE100172,0,none
JE100173,0,none
JE100174,0,none
JE100175,0,none
JE100176,0,none
JE100177,0,none
JE100178,0,none
JE100179,0,none
JE100180,0,none
JE100181,0,none
JE100182,0,none
JE100183,0,none
JE100184,0,none
JE100185,0,none
JE100186,0,none
JE100187,0,none
JE100188,0,none
JE100189,0,none
JE100190,0,none
JE100191,0,none
JE100192,0,none
JE100193,0,none
JE100194,0,none
JE100195,0,none
JE100196,0,none
JE100197,0,none
JE100198,0,none
JE100199,0,none
JE100200,0,none
JE100201,0,none
JE100202,0,none
JE100203,0,none
JE100204,0,none
JE100205,0,none
JE100206,0,none
JE100207,0,none
JE100208,0,none
JE100209,0,none
JE100210,0,none
JE100211,0,none
JE100212,0,none
JE100213,0,none
JE100214,0,none
JE100215,0,none
JE100216,0,none
JE100217,0,none
JE100218,0,none
JE100219,0,none
JE100220,0,none
JE100221,0,none
JE100222,0,none
JE100223,0,none
JE100224,0,none
JE100225,0,none
JE100226,0,none
JE100227,0,none
JE100228,0,none
JE100229,0,none
JE100230,0,none
JE100231,0,none
JE100232,0,none
JE100233,0,none
JE100234,0,none
JE100235,0,none
JE100236,0,none
JE100237,0,none
JE100238,0,none
JE100239,0,none
JE100240,0,none
JE100241,0,none
JE100242,0,none
JE100243,0,none
JE100244,0,none
JE100245,0,none
JE100246,0,none
JE100247,0,none
JE100248,0,none
JE100249,0,none
JE100250,0,none
JE100251,0,none
JE100252,0,none
JE100253,0,none
JE100254,0,none
JE100255,0,none
JE100256,0,none
JE100257,0,none
JE100258,0,none
JE100259,0,none
JE100260,0,none
JE100261,0,none
JE100262,0,none
JE100263,0,none
JE100264,0,none
JE100265,0,none
JE100266,0,none
JE100267,0,none
JE100268,0,none
JE100269,0,none
JE100270,0,none
JE100271,0,none
JE100272,0,none
JE100273,0,none
JE100274,0,none
JE100275,0,none
JE100276,0,none
JE100277,0,none
JE100278,0,none
JE100279,0,none
JE100280,0,none
JE100281,0,none
JE100282,0,none
JE100283,0,none
JE100284,0,none
JE100285,0,none
JE100286,0,none
JE100287,0,none
JE100288,0,none
JE100289,0,none
JE100290,0,none
JE100291,0,none
JE100292,0,none
JE100293,0,none
JE100294,0,none
JE100295,0,none
JE100296,0,none
JE100297,0,none
JE100298,0,none
JE100299,0,none
JE100300,0,none
JE100301,0,none
JE100302,0,none
JE100303,0,none
JE100304,0,none
JE100305,0,none
JE100306,0,none
JE100307,0,none
JE100308,0,none
JE100309,0,none
JE100310,0,none
JE100311,0,none
JE100312,0,none
JE100313,0,none
JE100314,0,none
JE100315,0,none
JE100316,0,none
JE100317,0,none
JE100318,0,none
JE100319,0,none
JE100320,0,none
JE100321,0,none
JE100322,0,none
JE100323,0,none
JE100324,0,none
JE100325,0,none
JE100326,0,none
JE100327,0,none
JE100328,0,none
JE100329,0,none
JE100330,0,none
JE100331,0,none
JE100332,0,none
JE100333,0,none
JE100334,0,none
JE100335,0,none
JE100336,0,none
JE100337,0,none
JE100338,0,none
JE100339,0,none
JE100340,0,none
JE100341,0,none
JE100342,0,none
JE100343,0,none
JE100344,0,none
JE100345,0,none
JE100346,0,none
JE100347,0,none
JE100348,0,none
JE100349,0,none
JE100350,0,none
JE100351,0,none
JE100352,0,none
JE100353,0,none
JE100354,0,none
JE100355,0,none
JE100356,0,none
JE100357,0,none
JE100358,0,none
JE100359,0,none
JE100360,0,none
JE100361,0,none
JE100362,0,none
JE100363,0,none
JE100364,0,none
JE100365,0,none
JE100366,0,none
JE100367,0,none
JE100368,0,none
JE100369,0,none
JE100370,0,none
JE100371,0,none
JE100372,0,none
JE100373,0,none
JE100374,0,none
JE100375,0,none
JE100376,0,none
JE100377,0,none
JE100378,0,none
JE100379,0,none
JE100380,0,none
JE100381,0,none
JE100382,0,none
JE100383,0,none
JE100384,0,none
JE100385,0,none
JE100386,0,none
JE100387,0,none
JE100388,0,none
JE100389,0,none
JE100390,0,none
JE100391,0,none
JE100392,0,none
JE100393,0,none
JE100394,0,none
JE100395,0,none
JE100396,0,none
JE100397,0,none
JE100398,0,none
JE100399,0,none
JE100400,0,none
JE100401,0,none
JE100402,0,none
JE100403,0,none
JE100404,0,none
JE100405,0,none
JE100406,0,none
JE100407,0,none
JE100408,0,none
JE100409,0,none
JE100410,0,none
JE100411,0,none
JE100412,0,none
JE100413,0,none
JE100414,0,none
JE100415,0,none
JE100416,0,none
JE100417,0,none
JE100418,0,none
JE100419,0,none
JE100420,0,none
JE100421,0,none
JE100422,0,none
JE100423,0,none
JE100424,0,none
JE100425,0,none
JE100426,0,none
JE100427,0,none
JE100428,0,none
JE100429,0,none
JE100430,0,none
JE100431,0,none
JE100432,0,none
JE100433,0,none
JE100434,0,none
JE100435,0,none
JE100436,0,none
JE100437,0,none
JE100438,0,none
JE100439,0,none
JE100440,0,none
JE100441,0,none
JE100442,0,none
JE100443,0,none
JE100444,0,none
JE100445,0,none
JE100446,0,none
JE100447,0,none
JE100448,0,none
JE100449,0,none
JE100450,0,none
JE100451,0,none
JE100452,0,none
JE100453,0,none
JE100454,0,none
JE100455,0,none
JE100456,0,none
JE100457,0,none
JE100458,0,none
JE100459,0,none
JE100460,0,none
JE100461,0,none
JE100462,0,none
JE100463,0,none
JE100464,0,none
JE100465,0,none
JE100466,0,none
JE100467,0,none
JE100468,0,none
JE100469,0,none
JE100470,0,none
JE100471,0,none
JE100472,0,none
JE100473,0,none
JE100474,0,none
JE100475,0,none
JE100476,0,none
JE100477,0,none
JE100478,0,none
JE100479,0,none
JE100480,0,none
JE100481,0,none
JE100482,0,none
JE100483,0,none
JE100484,0,none
JE100485,0,none
JE100486,0,none
JE100487,0,none
JE100488,0,none
JE100489,0,none
JE100490,0,none
JE100491,0,none
JE100492,0,none
JE100493,0,none
JE100494,0,none
JE100495,0,none
JE100496,0,none
JE100497,0,none
JE100498,0,none
JE100499,0,none
JE100500,0,none
JE100501,0,none
JE100502,0,none
JE100503,0,none
JE100504,0,none
JE100505,0,none
JE100506,0,none
JE100507,0,none
JE100508,0,none
JE100509,0,none
JE100510,0,none
JE100511,0,none
JE100512,0,none
JE100513,0,none
JE100514,0,none
JE100515,0,none
JE100516,0,none
JE100517,0,none
JE100518,0,none
JE100519,0,none
JE100520,0,none
JE100521,0,none
JE100522,0,none
JE100523,0,none
JE100524,0,none
JE100525,0,none
JE100526,0,none
JE100527,0,none
JE100528,0,none
JE100529,0,none
JE100530,0,none
JE100531,0,none
JE100532,0,none
JE100533,0,none
JE100534,0,none
JE100535,0,none
JE100536,0,none
JE100537,0,none
JE100538,0,none
JE100539,0,none
JE100540,0,none
JE100541,0,none
JE100542,0,none
JE100543,0,none
JE100544,0,none
JE100545,0,none
JE100546,0,none
JE100547,0,none
JE100548,0,none
JE100549,0,none
JE100550,0,none
JE100551,0,none
JE100552,0,none
JE100553,0,none
JE100554,0,none
JE100555,0,none
JE100556,0,none
JE100557,0,none
JE100558,0,none
JE100559,0,none
JE100560,0,none
JE100561,0,none
JE100562,0,none
JE100563,0,none
JE100564,0,none
JE100565,0,none
JE100566,0,none
JE100567,0,none
JE100568,0,none
JE100569,0,none
JE100570,0,none
JE100571,0,none
JE100572,0,none
JE100573,0,none
JE100574,0,none
JE100575,0,none
JE100576,0,none
JE100577,0,none
